Countries,Religion,TermName,NorwegianDefinition,Context,ConceptTranslation,,Feeling,Date,Comment
1,Islam,Lovverk,Alle lovene i et land,Alle lovene utgjør til sammen lovverket,Når vi i Norge snakker om lovverket er det som å si at alle lovene er samlet i lommen til kongen. På samme måte som Sharia i islam inneholder alle lovene inneholder lovverket alle lovene i Norge.,,Rettferdighet;Trygghet,2007,
1,Islam,Prosedyre,Framgangsmåte,"I det offentlige og i enkelte private bedrifter, er prosedyrene avgjørende for resultatet. Dette gjelder særlig jobber som har med sikkerhet å gjøre. ",På samme måten som man i islamsk rituale ber fem ganger om dagen må man følge prosedyrer. Betydningen av å følge en prosedyre kan også sammenlignes med en byggmester som må følge arkitektens tegning og legge steinene rett for at huset skal bli riktig.                                                                                                Å følge prosedyrer eller regler er som å følge viktige religiøse tradisjoner.,,Plikt,2007,
1,Islam,Konflikter,"Sammenstøt, strid, uoverensstemmelse",Vedvarende konflikter på arbeidsplassene koster  mye i tapt arbeidstid. ,"Det er viktig å ta opp konflikter i arbeidslivet – selv om de er små. På samme måten som en liten og uskyldig ulv vokser og blir stor og farlig, kan små konflikter bli store.                                             På samme måte som Muhammed og Koraichane løste opp i konflikten uten krig, kan ledere hjelpe å finne løsninger når man ikke er enige. ",,Noe vanskelig som kan føre til noe positivt. ,2007,
1,Islam,Mekler,Person som mekler i en tvist,"En offentlig  mekler  knyttet til Konfliktrådet, er for mange  ukjent","I Norge er det ingen høvdinger, stammer eller mullaher som kan mekle. En offentlig mekler kan man si er som en kurdisk damrast eller en afghansk miadji som ikke mottar penger. ",,Ordens-skaper,2007,
1,Islam,Kriminell,En person som har gjort handlinger som kommer inn under straffeloven,"En som en gang er blitt stemplet som kriminell, kan ha vansker med å bli akseptert – ikke bare av storsamfunnet, men også av familien og minoritetssamfunnet. ",Å være kriminell i Norge er som en som kapper av hånden og spiser haram mat,,Alvorlig for både en selv og familien. ,2007,
1,Islam,Skatteoppgjør,Det å gjøre opp når deg gjelder skatten.,"Når en ikke har tillit til staten, kan en ikke forstå uten videre at en får penger tilbake dersom en har betalt for mye skatt på forhånd. ","På samme måte som alle må bidra med Zakat i et muslimsk samfunn, må alle betale skatt i et norsk samfunn.                           På samme måte som en mister ansikt når en må be om hjelp når en ikke tidligere har bidratt i familien, er det en skam i Norge å få hjelp når en ikke har bidradd med å betale skatt. ",,Rettferdighet,2003,
1,Islam,Ansatt ,,Ansatte i kirkens bymisjon - i et prosjekt som jobber for prostituerte,"De som tar imot deg på Albertine er som trofaste venner eller familiemedlemmer. Selv om de er unge, kan de sammenlignes med kloke, eldre mennesker i vårt samfunn. De har store kunnskaper om det norske samfunnet og hvordan man kan hjelpe mennesker i dette landet. De kan også sammenlignes med familiemedlemmer i vårt samfunn som er ansatt i det offentlige og kan gi deg nyttig informasjon.",,Trygghet;Krav ,2005,
1,Islam,Arbeidstid i Norge,"Normaltiden man jobber i Norge er på 7,5 timer",Det er lover som regulerer arbeidstiden og man må søke om dispensasjon dersom man ikke kan holde seg innenfor denne tiden.,"I mange land kan man jobbe så mye man orker. I Norge er det annerledes. På samme måte som Ramadan varer en måned varer en arbeidsdag 7,5 timer",,Punktlighet ,2003,
1,Islam,Høflighet,Det å være hensynsfull og dannet,Høflighet vises på forskjellig måte i ulike kulturer. Det er vanlig i noen kulturer at man bruker sterkere uttrykk for å uttrykke både positive og negative ting – eks. fysisk- og psykisk ubehag. ,"I Norge må man være høflig og vennlig på jobb – selv om man er trøtt eller har vondt i kroppen.  Dette kan sammenlignes med når du i ditt hjemland skal ta imot gjester eller er en handelsmann som skal selge noe i forretningen sin. På samme måten som gjestene og kundene må føle seg godt behandlet, slik at de kan ære ditt hus og din forretning, sånn skal du behandle dine kolleger og kundene. Dersom du er sur og uhøflig vil kollegaene dine klage på deg og kundene vil forsvinne – selv om du utfører jobben som f.eks. lagerarbeider bra.",,Respekt,2003,
1,Islam,Ansatt ,,Ansatt som jobber med renhold i en bedrift,"I Norge er arbeid og fritid ofte to forskjellige ting: En norsk kollega som du føler er en venn på jobben, vil  ikke automatisk invitere deg hjem til seg. Jobb og fritid er som to adskilte land med et hav i mellom.                                                                                                                                                                                                               I Norge må du vise at du kan jobbe på den måten som nordmenn liker. Her i landet er du som en soldat som ingen vet hvem er. Selv om du lærer hva du skal gjøre på f. eks. et lager, vil jobben bli som et ødelagt marked for en handelsmann, dersom du ikke lærer hvordan du skal oppføre deg sammen med norske kolleger, sjefer og kunder.Her nytter det ikke om du kommer fra en rik familie, stamme eller klan eller om du kjenner viktige personer. ",,Trygghet;Krav ,2003,
1,Islam,Attest,"Attest  (skriftlig) erklæring, bekreftelse, f eks fra offentlig myndighet el. arbeidsgiver dåpsa-, helsea-, vaksinasjonsa- / vitnesbyrd og a-er / få a- for god oppførsel / ha gode a-er / legge fram a- på / utstede en a- til en",Attest ansees av mange fra kollektive kulturer som noe verdiløst – noe de kan kjøpe eller forfalske. ,"Dersom du utfører jobben på en riktig måte kan dette føre til at du senere får jobber som stemmer mer med det du har lyst til. Dersom du gjør en dårlig jobb her, kan sladderen ødelegge for deg senere. Dersom du søker på en ny jobb, vil den nye sjefen spørre etter attester fra alle jobber du har hatt tidligere. En god attest er som et gullarmbånd du har hele livet. Husk at steinen når kort, men ordet om deg når langt.",,Viktighet;Et meget viktig  dokument,2003,
1,Islam,Pliktoppfyllende,Svært ivrig,Den verdi som er av stor betydning i Norge.,"På samme måte som en muslim er pliktoppfyllende når han ber sine bønner til riktige tider, selv om ingen ser det, er det viktig å være pliktoppfyllende i Norge. Det kan også sammenlignes med å gjøre en jobb med godt hjerte eller hånden på hjertet.",,Flink,2004,
"1, 2","Islam, kristen",Til rettelegging,"Legge til rette, bearbeide","Både sosial-, faglig- og tekniske tilrettelegging/tilpassning som kan bidra til gode læringsarenaer.","På samme måte som man må forberede Neka, (en religiøs vielse i islam) der bruden gir fullmakt til far eller bror, må man legge forholdene til rette for det døve barnet.                                                På samme måte som man først må fylle huset med det nødvendige, før man kan tenke på å gifte seg, må en legge forholdene til rette for det døve barnet.                                              Husk at ikke alle tårn du ser betyr at det er en moske der.  På samme måte som du må finne ut om dette er en moske før du går dit, må du finne ut hvordan du skal legge forhold til rette før du setter i gang tiltak for det døve barnet eller den døve ungdommen.",,Lettere,2008,
"1, 2","Islam, kristen",Status,"Rang, stilling , prestisje ",Døve barn kan også oppnå høy status i Norge gjennom for eksempel utdanning og bruke av andre ressurser enn hørsel. ,"På samme måte som foreldre har høy status i familien og mennesker med makt og penger har høy status, kan døve barn få status i Norge gjennom utdanning, opplæring, veiledning, jobb osv... ",,Rik,2008,
"1, 2",,Åpen/ærlig ,"Klar, tydelig, åpenbar tale som e sannferdig, oppriktig  og uforstilt.","Den norske direkthetskulturen anses her  for å vøre av stor verdi. I mange andre land ansees det samme  for å være uhøflig, frekt, lite raffinert etc.                                                              Ærlighet er i de fleste kulturer ansett som en viktig verdi, men behøver ikke henge sammen med ”åpenhet”.  ","På samme måten som du må fortelle legen om hvor du har vondt for at han skal gi deg de rette medisinene, må du varsle om farer eller andre dårlige forhold du ser på arbeidsplassen din. Først da kan forholdene bli rettet på.                                                                På samme måte som en felle du ikke varsler om kan bli farlig for dine egne, kan dårlige forhold også gå ut over deg.                         På samme måten som du knuser lusa på neglen, skal du være åpen og ærlig mot din sjef og dine kolleger når det gjelder farer eller andre dårlige ting du ser.                                                          Ærlighet og åpenhet er i Norge tegnet på modenhet.                           Tung ærlighet kan ikke brennes.                                                        Ærlig tale kan være tung, men slik tale er nyttig.                              Uærlig tale varer max 40 dager, og da kan den store ulykken skje.",,Trygghet,2003,
"1, 2",,Barrierer,Hinder ,Ulike hinder som skal beskytte de ansatte mot ulykker,"På samme måte som et skjell beskytter dyret som ligger inni fra farene i sjøen, skal barrierene beskytte mot farer som kan føre til uhell eller ulykker. ",,Beskyttelse,2003,
"1, 2","Islam, kristen",Uhell/ Ulykker,"Hendelser  som volder skade el. bry; mindre ulykke.                              Tilfeldig større skade, alvorlig uhell, katastrofe","Noen tenker at uhell er skjebne bestemt eller straff og lignende fra Gud, og som de ikke kan forhindre.                 Noen tenker at uhell er skjebne bestemt eller straff og lignende fra Gud, og som de ikke kan forhindre.","På samme måte som mannen måtte binde kamelen selv om han satt sammen med Ohmar, må du se etter at ulykker ikke skjer.   På samme måte som mannen måtte binde kamelen selv om han satt sammen med Ohmar, må du se etter at ulykker ikke skjer.

Du har fått hodet av Gud til å beskytte deg mot farer.
Selv et esel forstår når farer oppstår.
Du skal ikke stikke fingeren i ukjent hull. 
Du skal ikke ride på ville hester.
Vi sier til barna: Ikke løp med lukkede øyne og ikke len deg mot en dårlig vegg
",,,2003,
"1, 2",Islam,Regel,"Rettesnor, forskrift",I noen kulturer ses regler på som ”bare veiledende” og ”bare på papiret”. Regler er for noen til for å brytes. De ler litt av nordmenn som stopper på rødt lys midt på natten i en et oversiktelig kryss uten trafikk.,"Reglene og prosedyrene er som kloke ord eldre personer gir yngre for at de skal leve i trygghet og beskytte familiens ære. De eldre kjenner området bedre enn deg og på samme måten skal regler og prosedyrer være lys dit du skal og de gjør reisen kortere.                                                                                                Det er dumt ikke å følge reglene og prosedyrene og senere måtte be om råd når øynene er blitt røde. Husk at til og med de sterke kan blø.                                                                                                På samme måten som man i islamsk rituale ber fem ganger om dagen på en bestemt måte, må man følge prosedyrer                     Betydningen av å følge en prosedyre kan også sammenlignes med byggmester som må følge arkitektens tegning og legge steinene rett for at huset skal bli riktig.  ",,Plikt,2003,
"1, 2","Islam,  kristen",Råd og veiledning,"Forslag  til hjelp, utvei, veiledning","Noen flerkulturelle synes det er vanskelig å ta i mot råd fra yngre mennesker som ikke tilhører familien, deres religion eller deres kultur","På samme måte som kloke ord fra eldre fører til at du kan leve i trygghet og beskytte familiens ære, er det viktig å ta imot gode råd fra mennesker du har tillit til. De kan være lys dit du skal og de gjør reisen kortere.                                                                        Husk at til og med de sterke kan blø.                                                    På samme måte som Khidri Zinde gav fattiggutten gode råd, er det viktig å ta imot gode råd fra mennesker du har tillit til.            Hvis klær sys med råd, så tåler de mer og holder lengre.                 Selv om du er konge må du ikke gå tur i jungelen alene.                         ",,Trygghet,2003,
"1, 2","Islam, kristen",Jobbrullering,Noe som går i runder – noe som ruller.                  Jobbrullering: skifte arbeidsoppgaver etter et spesielt mønster,Arbeidet er organisert i linjer hvor det er viktig å skifte arbeidsoppgaver pga  f.eks. muskeproblemer og psykologiske  faktorer. Det kan bli gjort unntak for mennesker med spesielle behov. Det er en fordel at mange kan forskjellige oppgaver/alle oppgaver i en avdeling.,Hvis du spiser honning hele tiden kan du kaste opp. På samme måte kan du få vondt i kroppen om du hele tiden gjør de samme arbeidsoppgavene.                                                                              Hvis du spiser egg hver dag kommer du til å lukte som hønselort. På samme måte som det er viktig å spise forskjellig mat er det viktig å bytte arbeidsoppgaver for at du skal ha god helse.,,Ivaretatt,2003,
"1, 2","Islam, kristen",Hasardiøs atferd,"Handlemåte, eller ytre oppførsel som beror på tilfeldighet, som er risikabel eller vågal.",,"I Norge er man veldig opptatt at sikkerhet på arbeidsplassen. Alle ansatte må oppføre seg på en måte som hindrer ulykker. Dersom du ikke tenker sikkerhet kan du bli som en brennende ås som de andre ser på. 
En hasardiøs atferd kan også sammenlignes med å plukke opp en stav i en skog du ikke kjenner. Kanskje er det en slange du tar på. Er du uforsiktig og tar sjanser kan også gå som legenden forteller om den hunden som gikk for fort til og føde og bare fødte spøkelser.
",,Fare,2003,
"1, 2","Islam, kristen",Sikkerhet               (i praksis),"Trygghet mot fare, angrep e l,
og  trygghet i opptreden, fasthet.
","Har med alle initiativ som vil forhindre eller redusere risikoen for skade, tap av informasjon, rykte etc. 
Sikkerhet på arbeidsplassen er mye mer vektlagt i Norge enn i mange andre land. 
","Spytt ikke i  den brønnen du skal drikke av
På samme måte som medlemmer av en familie eller klan passer på hverandre og ser til at ingen blir skadet eller at familiens ære ikke blir truet, skal hver enkelt, uansett rang, ta ansvar for egen og andres sikkerhet – enten det gjelder liv og helse, materielle verdier eller rykte. 

På samme måte som en meter tykk is ikke blir laget på en dag, men må knuses for å holde vannet åpent, slik er det med alle handlinger som kan hindre ulykker. De må utføres hver dag i alle situasjoner. 

På samme måte som en snøball ruller og stadig blir større slik at den kan ødelegge et stort hus, slik er det med kjeder av små uforsiktigheter som til slutt kan føre til en stor ulykke.
Halv ulykke er bedre en hel ulykke og derfor må du varsle din sjef og dine kolleger dersom du ser noe som kan lede til en ulykke. På samme måte som tærne ikke hviler når fingeren er skadet, skal heller ikke du som ansatt hvile når små ulykker skjer. 

På samme måten som at du ikke lar en brann oppstår for at du kan slukke den, men rydder skogen for at den ikke skal oppstå, må du hele tiden være på vakt for at ulykker ikke skal skje.

 Like dumt som å slippe kveget utenfor grensene slik at du må rope på dem for å finne dem igjen, er det å ikke tenke på sikkerheten.
",,Trygghet ,2008,
"1, 2","Islam, kristen",Kurs (NAV) ,Sammenhengende undervisning i et fag el. emne som strekker seg over en fastsatt tid og (som er arrangert av NAV),,"Nav-kurs kan sammenlignes med en god venns hus, men ingen blir behandlet som en gjest. 
Nav-kurs kan sammenlignes med en god venns hus, men ingen blir behandlet som en gjest                                                            SMI er verken et hotell eller skole og ingen kan kreve noe her. På SMI ønsker vi å veilede deg som en venn slik at du ikke skal ta feil og tape æren din og miste mulighetene til å bygge opp et godt liv i Norge. Tiden sammen med folkene på SMI kan bli starten på et godt liv.
",,,2007,
"1, 2","Islam, kristen",Ledelse i Norge ,Personer som står i spissen for en virksomhet i Norge,"Ledelse er ofte helt annerledes i Norge enn i andre land. Man vet hva en leder er, men meningen er ikke den samme.","I ditt hjemland er mange sjefer annerledes enn i Norge. Disse sjefene må du kanskje snakke til på samme måte som når en jeger står bak et tre for å fange et dyr.                                               Slik er det ikke i Norge. Her må du snakke direkte til lederen op en høflig måte og ikke vente at gode ord eller gaver skal gi deg noen fordeler.                                                                                       En sjef i Norge kan også sammenlignes med en storebror eller en stefar og selv om vi er uenige med dem må vi til slutt gjøre tingene på deres måte. Sjefen kan bli din veiviser og din veileder som har et spesielt ansvar for at retningen stemmer slik at bedriften når målet.                                                                              I Norge er kvinner ledere på lik linje med menn. På samme måten som en bestemor har autoritet i hjemmet over både gutter og jenter, har kvinnelige ledere autoritet både over mannlige og kvinnelige medarbeidere.",,Respekt;Vennskapelig ,2007,
"1, 2","Islam, kristen",Motivasjon ,Indre drivkraft som fører til bevegelse,Du ønsker og har vilje til å følge opp for eksempel barna sine behov,"På samme måten som når du planter et tre og du tenker på at om noen år kan du nyte skyggen av det, må du tenke på at det arbeidet du gjør i dag for ditt barn, vil betyd mye senere.                Husk at det som du dyrker skal du få høste.",,Oppglød,2007,
"1, 2","Islam, kristen",Praksis-plass,Ikke –betalt arbeid som skal gi den enkelte øvelse og  erfaring.,"Noen kursdeltakere på NAV-kurs , som tidligere har hatt praksisplass, føler at de ”jobber gratis”: de andre som gjør det samme , får lønn, mens de får ikke.      Støtten fra NAV blir en selvfølgelighet og de ser ikke at språk og kultur gjør at de trenger trening. ","Som en hest trenes for å gjøre en god jobb for sin herre, må du trenes på en praksisplass i et nytt land.                                          En praksisplass kan også sammenlignes med en utdanning som du får betalt for være elev. Her skal du først og fremst lære språk og kultur, men du må også vise at du kan jobbe.                           En skitten hånd er sivilisasjonens speil.                                             Får du en praksisplass er det som en gullsjanse",,Utvikling ,2008,
"1, 2","Islam, kristen",Opplæring,Aktiviteter som skal bidra til ny innsikt eller nye handlinger,Foreldre ser ikke alltid opplæring i barnehagen som  så viktig. ,"På samme måten som at alle mennesker lærer fra de ligger i vogna til de ligger graven, vil aktivitetene barnehagen føre til at barnet klarer mer og får et bedre liv. Dette kalles opplæring. ",,Gave,2008,
"1, 2","Islam, kristen",Fysioterapi,Systematisk stimulering og aktivitet for å oppnå optimal motorisk utvikling,Foreldrene må gi samtykke til at barna får fysioterapi i barnehagen og at de selv må gjøre øvelser hjemme.,"Når man har skader på kroppen er det avgjørende å trene for å bli bedre. På samme måte som det er viktig for en muslim å be fem ganger om dagen for å nå målet, er det viktig å trene kroppen (og hodet) hver dag for å oppnå godt resultat. 

På samme måte som en imam leder fredagsbønnen, vil en fysioterapeut lede treningen. Men man må også trene hjemme uten fysioterapeut. På samme måte som en muslim også må be hjemme uten en imam, må man også trene uten fysioterapeut. ",,Hjelp til bedring ,2007,
"1, 2","Islam, kristen",Tilvenning,En prosess som skal føre til at det nye blir kjent og trygt,Viktig at foreldrene er med i barnehagen i begynnelsen slik at barna blir vant med den nye tilværelsen.,"På samme måte som en fuglunge er avhengig av moren til den kan fly på egne vinger, må du være sammen med barnet ditt til han eller hun føler seg trygg i barnehagen.  

Å være sammen med barnet når det begynner i barnehagen er like viktig som bønn på fredager, salat al jumaa. 
",,Litt etter litt ,2007,
"1, 2",,Vilkår,"Betingelse, forutsetning","At ”fremmede”  (for eksempel staten) setter vilkår eller betingelse  for hjelp eller støtte, er noe som mange strever med å akseptere: de vil gjerne ha penger og hjelp uten vilkår. Dette skjer også i andre kulturer, men vilkårene er mer innbakt i hele systemet – for eksempel ved at man yter hjelp tilbake, eller at naboen låner penger av deg i en annen situasjon.   ","På samme måte som familiene setter fram vilkår når deres barn skal gifte seg, må det offentlige sette fram vilkår når du skal få noe.                                                                                                          Kjenner du historien om den mannen som ville ha penger fra emiren som styrte byen? Emiren sa til mannen at han ikke fylte vilkårene fordi han hadde så god råd. Da sa mannen: ”Kan du ikke registrere sønnen min som foreldreløs – så oppfyller jeg vilkårene?” ”Jo”, sa emiren, ”en sønn som har en far som deg er faktisk foreldreløs”. ",,Krav;Oppnåelse,2007,
"1, 2",,Evaluering,"Verdsette, vurdere – for eksempel  vurdere prestasjoner og kunnskaper hos (skoleelev), gi karakterer el. skussmål",Ved f.eks kursslutt oppfordres foreldrene til å si hva om er godt eller dårlig - for at kurset skal bli bedre. ,"På samme måte som man ser tilbake på de årene som man har levd og kan lære av dem, kan man se på det man selv eller andre har gjort og lære av både det gode og det dårlige. ",,Visdom,2007,
"1, 2","Islam, kristen",Omsorgssvikt,"Svakhet, mangel i det å sørge for og har omtanke/omhu for umyndige ",Når voksne er traumatisert eller syke kan det hende de ikke klarer å ta seg av barna på den måten samfunnet krever. Storfamilien er borte og manglende hjelp sender familier ut i krise der barna lider. ,"Profeten sier: Hvis du ikke gjør en god jobb så er det bedre å ikke gjøre den. På samme måten er det bedre at andre tar vare på barna for en periode, når du ikke klarer å gjøre det som barnet trenger. 

På samme måte som du må ta på deg riktig størrelse på skoene, må du ta på det arbeid som passer deg. 

På samme måte som vi sier at hvis du ikke kan løfte steinen, kyss den og legg den på plass, må du frivillig overlate det som er for tungt for deg til andre. Ikke kast stein i den kilden som du drikker fra. 
",,Forbrytelse ,2007,
"1, 2",,Omsorgstiltak,"Det å sette inn, ta de nødvendige  forholdsregler, eller skritt/aktiviteter for å sikre  og sørge for omtanke/omhu for umyndige ","Arbeid og omsorg som storfamilien gjorde i hjemlandet, blir overtatt av samfunnet. ","På samme måte som familien eller klanen hjelper hvis det oppstår problemer, setter det offentlige inn tiltak når noen trenger hjelp. 

På samme måten som barn av gamle foreldre blir enige om at foreldrene for eksempel skal bo hos barna  en måned hver, finner det offentlige ut omsorgstiltak for mennesker i Norge. 

På samme måten som hvert av medlemmene i familien kan bidra med en sum penger til felles økonomisk budsjett for de i familien som trenger det, kan det offentlige hjelpe med økonomiske tiltak. 

På samme måte som det er skam å motta fra familien når du ikke trenger det, er det skam å motta penger når du ikke trenger det.
",,Hjelp   ,2007,
"1, 2","Islam, kristen",Aksept,"Godtaking (av et tilbud, en tilstand e l)",Akseptere at for eksempel  barnet er døvt eller har en uopprettelig skade. ,"Det sies at sannheten er som en sol, og på same måte som du ikke kan dekke solen med to fingre, må du akseptere sannheten om at barnet ditt ikke kan høre.
På samme måte som du ikke kan holde to vannmeloner med en hånd, må du akseptere at barnet ditt er døvt.

Ikke tenk som kabk (en fugl) som gjemmer hodet i snøen eller under steinen. Eller som strutsen som når farene kommer, gjemmer hodet i sanden. 
",,Avslappet – etter å ha kjempet. ,2007,
"1, 2","Islam,  kristen",Individuell behandling,Det å få medfart ut fra det som særmerker det enkelte individ,Rettighetene fra det offentlige baserer seg på vurderinger av hver enkelt individ/familie. Mange tror at alle skal få likt utansett. ,"Individuell behandling betyr at hver enkelt blir vurdert hver for seg. Mennesker er ulike og må behandles ulikt. En far må også ofte behandle fem brødre ulikt fordi alle fem kan være helt forskjellige.                                                                                         På samme måte som imamen lærer oss at hver person er ansvarlig for seg selv på dommens dag, blir menneskene i Norge behandlet individuelt og ansvarliggjort.                                   («Geita henger etter sine føtter, og sauen etter sine.)",,Å bli sett,2008,
